Year,Page,Question_Number,Question_Type,Instruction,Comprehension_Passage,Image_URLs,Question,OptionA,OptionB,OptionC,OptionD,Answer,Detail_URL
2017,7,32,objective,,,,"In the pre-colonial era, the breaking of an oath by a chief could _________",lead to a war with his neighbours,lead to ritual cleansing,make his state come under a curse,lead to his destoolment,D,https://myschool.ng/classroom/government/46900?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,33,objective,,,,Which of the following is not a feature of a state?,sovereignty,Government,Mass Media,Territory,C,https://myschool.ng/classroom/government/46901?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,34,constitution,,,,One feature of pre-independence constitutions in West Africa is the,judicial and executive councils,executive and legislative councils,judicial and legislative councils,consultative and judicial councils,B,https://myschool.ng/classroom/government/46902?exam_type=waec&exam_year=2017&type=obj&page=7
2017,7,35,objective,,,,The guiding principle of communism is from each according to his/her,ability and to each according to his/her need',qualification and to each according to his/her need',race and to each according to his/her ability',age and to each according to his/ her status,A,https://myschool.ng/classroom/government/46903?exam_type=waec&exam_year=2017&type=obj&page=7
2017,8,36,objective,,,,The political party whose membership comprises people of high social status is called,religious party,broker party,elite party,mass party,C,https://myschool.ng/classroom/government/46904?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,37,objective,,,,For democracy to be sustained in a country it needs a,rich political leader,well - informed electorate,partial electoral commission,large police force,B,https://myschool.ng/classroom/government/46905?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,38,objective,,,,The electoral system in which the winner should have more than all the votes of all the other contestants put together is called,simple majority system,referendum,second ballot system,absolute majority system,D,https://myschool.ng/classroom/government/46906?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,39,objective,,,,Colonial administration in West Africa was a result of,a need for a new environment,the desire to underdevelop West Africa,a need for raw materials and markets,the urge to introduce western education,C,https://myschool.ng/classroom/government/46907?exam_type=waec&exam_year=2017&type=obj&page=8
2017,8,40,objective,,,,The Secretary of State for the colonies was responsible for,democratization of local governments,initiating colonial policies,fighting for the interest of the people,working with traditional rulers,B,https://myschool.ng/classroom/government/46908?exam_type=waec&exam_year=2017&type=obj&page=8
2017,9,41,objective,,,,A political party is significant because it _____?,stimulates political rancour,encourages electoral malpractices,seeks political power,settles disputes,C,https://myschool.ng/classroom/government/46909?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,42,objective,,,,One primary objective of the New Partnership for African Development (NEPAD) is to,settle disputes among African nations,eradicate poverty,betray corrupt African leaders,protect African citizens,B,https://myschool.ng/classroom/government/46910?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,43,objective,,,,The crown colonies in the British West Africa were administered through _________,assimilation,decentralization,association,direct rule,D,https://myschool.ng/classroom/government/46911?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,44,objective,,,,One duty of a good citizen is __________,building schools and hospitals,respect of the dignity and rights of others,loyalty to other nations,defending a suspect,B,https://myschool.ng/classroom/government/46912?exam_type=waec&exam_year=2017&type=obj&page=9
2017,9,45,constitution,,,,One of the defects associated with most pre-independence constitutions in British West Africa was ________,veto power of the Governor,all inclusive franchise,African domination of the executive council,African domination of the legislative council,A,https://myschool.ng/classroom/government/46913?exam_type=waec&exam_year=2017&type=obj&page=9
2017,10,46,objective,,,,An effective way of strengthening societal institutions is through the expression of ____________,person opinion,group opinion,elite opinion,public opinion,D,https://myschool.ng/classroom/government/46914?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,47,objective,,,,"A ""Yes"" or No"" vote on a specific political issue in a country is called ________",referendum,public opinion,gerrymandering,suffrage,A,https://myschool.ng/classroom/government/46915?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,48,objective,,,,Bicameralism is necessary in a federal state to demonstrate that __________,the executive is adequately represented,localized interests receive adequate representation,representation in the upper house is base on population,representation of the rich in society is taken care of,B,https://myschool.ng/classroom/government/46916?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,49,objective,,,,The Economic Community of West African States (ECOWAS) was formally established in Lagos on _________,"December 20, 1945",June 20. 1963,"March 15, 1971","May 28, 1975",D,https://myschool.ng/classroom/government/46917?exam_type=waec&exam_year=2017&type=obj&page=10
2017,10,50,objective,,,,A political system in which there is only one legalized political party is called a ________,de jure one-party system,de facto one-party system,totalitarian single party system,mass party system,A,https://myschool.ng/classroom/government/46918?exam_type=waec&exam_year=2017&type=obj&page=10
2018,1,1,objective,,,,A government performs the following functions except?,safeguarding life and property,maintaining law and order,providing all the needs of its citizens,providing basic welfare needs,C,https://myschool.ng/classroom/government/48339?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,2,objective,,,,A political system in which the government controls every aspect of a citizen's life is _________.,feudalism,monarchy,democracy,totalitarianism,D,https://myschool.ng/classroom/government/48352?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,3,objective,,,,A political system in which the state owns and controls the major means of production is known as?,feudalism,socialism,fascism,capitalism,B,https://myschool.ng/classroom/government/48353?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,4,objective,,,,Communist governments aim at distributing goods and services according to _____________.,gender and class,loyalty to the party,need and ability,work and residence,C,https://myschool.ng/classroom/government/48356?exam_type=waec&exam_year=2018&type=obj&page=1
2018,1,5,objective,,,,The theory of separation of power is associated with?,Jean Bodin,Baron de Montesquieu,A.V Dicey,J.J Rousseau,B,https://myschool.ng/classroom/government/48357?exam_type=waec&exam_year=2018&type=obj&page=1
2018,2,6,objective,,,,The basic purpose of setting up a state is to ___________.,maintain law and order,protect foreign interest,Promote development,provide social facilities,A,https://myschool.ng/classroom/government/48358?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,7,objective,,,,The process of taking part in the selection of leaders in a country is political ___________.,socialization,participation,interaction,culture,B,https://myschool.ng/classroom/government/48360?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,8,objective,,,,"By comparison, a state is ______________.",less permanent than a government,more permanent than a government,more changeable than a government,equally permanent with a government,B,https://myschool.ng/classroom/government/48362?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,9,objective,,,,"in modern democracy, a government is?",a contract between the rulers and the ruled,a preserve of the political party in power,monopoly of the ethnic groups in the majority,alternation of power between the minority and majority tribes,A,https://myschool.ng/classroom/government/48371?exam_type=waec&exam_year=2018&type=obj&page=2
2018,2,10,objective,,,,The rule of law can be limited by?,power,state of emergency,legitimacy,checks and balances,B,https://myschool.ng/classroom/government/48377?exam_type=waec&exam_year=2018&type=obj&page=2
2018,3,11,objective,,,,The principle of separation of power becomes meaningful when it is linked with the concept of?,the certainty of the law,checks and balances,legality of the law,judicial independence,B,https://myschool.ng/classroom/government/48383?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,12,objective,,,,Which of the following does not militate against representative government in West Africa?,electoral irregularities,coup d' etat,gagged media,universal adult suffrage,D,https://myschool.ng/classroom/government/48385?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,13,objective,,,,Those who believe in democracy and good governance are opposed to a single party system because?,encourages weak leadership,does not ensure national unity,curtails personal liberty,encourages divisiveness,C,https://myschool.ng/classroom/government/48390?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,14,objective,,,,The fundamental law of a country refers to its?,acts of parliament,conventions,constitution,judicial precedence,C,https://myschool.ng/classroom/government/48392?exam_type=waec&exam_year=2018&type=obj&page=3
2018,3,15,constitution,,,,A country's constitution could be derived from the following sources except?,judicial precedents,customary sources,statutory sources,party manifestoes,D,https://myschool.ng/classroom/government/48395?exam_type=waec&exam_year=2018&type=obj&page=3
2018,4,16,objective,,,,Planning and formulation of government policies are first initiated at?,cabinet meetings,media houses,political rallies,open forum,A,https://myschool.ng/classroom/government/48396?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,17,objective,,,,Which of the following is the primary function of a parliament?,impeachment of the president,making of laws,ratifying international treaties,acting as an electoral college,B,https://myschool.ng/classroom/government/48397?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,18,objective,,,,Judicial review is a mechanism for checking __________.,arbitrary use of power,irresponsible journalism,electoral malpractices,military adventures,A,https://myschool.ng/classroom/government/48399?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,19,objective,,,,"In a parliamentary system of government, the legislature and executive are fused to ensure .",supremacy of the ruling party in administering the state,smoothness in the administration of the state,the constitution is read in parliament at all time,the judiciary consults parliament before ruling on cases,B,https://myschool.ng/classroom/government/48402?exam_type=waec&exam_year=2018&type=obj&page=4
2018,4,20,objective,,,,A country with homogeneous societies and a small population is suitable for the establishment of ____________.,a unitary state,a nation state,a federal state,an autonomous state,A,https://myschool.ng/classroom/government/48406?exam_type=waec&exam_year=2018&type=obj&page=4
2018,5,21,objective,,,,Which of the following factors usually leads to the collapse of a confederal state?,weak central government,absent of a confederal parliament,ill equipped armed forces,absence of a ceremonial head of state,A,https://myschool.ng/classroom/government/48407?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,22,objective,,,,"In the presidential system of government, the chief executive is responsible to the _____________.",judiciary,monarch,electorate,senate,C,https://myschool.ng/classroom/government/48410?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,23,objective,,,,A federal government is a form of __________.,decentralization,centralization,confederation,revolution,A,https://myschool.ng/classroom/government/48416?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,24,objective,,,,Which of the following alternatives is a feature of a federation,unwritten constitution,unicameral legislature,supremacy of the constitution,right to secede,C,https://myschool.ng/classroom/government/48419?exam_type=waec&exam_year=2018&type=obj&page=5
2018,5,25,objective,,,,"To preserve individual liberties, the judiciary should _____________.",consist of honest and impartial judges,be appointed by the executives,be prosecuted for judgement against the executive,participate in partisan politics,A,https://myschool.ng/classroom/government/48421?exam_type=waec&exam_year=2018&type=obj&page=5
2018,6,26,objective,,,,Citizens can seek redress against injustice from the state through the?,ombudsman,head of civil service,civil service commission,titular executive,A,https://myschool.ng/classroom/government/48423?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,27,objective,,,,Which of these functions is performed by both political parties and pressure groups?,interest aggregation and articulation,source of mediation in a state,provision of specialized information,seeking to manage the affairs of the state,A,https://myschool.ng/classroom/government/48434?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,28,objective,,,,Which of these is not a source of revenue for political parties?,dues,grants,tolls,donations,C,https://myschool.ng/classroom/government/48444?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,29,objective,,,,Pressure groups seek to influence the policies of the government ______________.,to the advantage of their members,so that all citizens can benefit,to suit the manifestos of political parties,to conform with electoral act,A,https://myschool.ng/classroom/government/48447?exam_type=waec&exam_year=2018&type=obj&page=6
2018,6,30,objective,,,,Which of the following agencies helps the most in shaping public opinion?,pressure groups,mass media,college and universities,peer groups,B,https://myschool.ng/classroom/government/48454?exam_type=waec&exam_year=2018&type=obj&page=6
2018,7,31,objective,,,,Public opinion can be measured through all of the following except the?,imposition of laws without any debate,conduct of opinion,general review,holding of referendum in a state,A,https://myschool.ng/classroom/government/48462?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,32,objective,,,,An electoral system which allows party members to elect candidates for elective offices is called?,by election,primary election,general election,direct election,B,https://myschool.ng/classroom/government/48467?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,33,objective,,,,On which of the following grounds can a citizen abstain from voting?,religion,education,wealth,status,D,https://myschool.ng/classroom/government/48468?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,34,theory,,,,Indirect election is best described as?,only women electing legislators,the citizenry electing legislators,electoral college electing legislators,only adults electing legislators,C,https://myschool.ng/classroom/government/48470?exam_type=waec&exam_year=2018&type=obj&page=7
2018,7,35,objective,,,,The class that controls and supervises the activities of the executive class in the civil service is?,clerical class,manipulative class,professional class,administrative class,D,https://myschool.ng/classroom/government/48474?exam_type=waec&exam_year=2018&type=obj&page=7
2018,8,36,objective,,,,The agency responsible for investigating allegations of maladministration and punishing offending career officers in the executive is the?,federal character commission,ethics commission,judicial commission,public/civil service commission,D,https://myschool.ng/classroom/government/48477?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,37,objective,,,,The anonymity of civil servants means that they should not be?,prosecuted for any professional misconduct,disciplined because of their expertise,above the law of the land,praised or blamed publicly,D,https://myschool.ng/classroom/government/48478?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,38,objective,,,,The following were limitations imposed on traditional rulers under colonial rule except?,were not permitted to raise armed forces,had no power to impose tax,had no power to install or dispose a chief,were no longer spiritual heads of the people,D,https://myschool.ng/classroom/government/48481?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,39,objective,,,,A system of administration which allowed traditional rulers to rule their people under the supervision of the British officials in West Africa is?,divide and rule,colonization,indirect rule,assimilation,C,https://myschool.ng/classroom/government/48483?exam_type=waec&exam_year=2018&type=obj&page=8
2018,8,40,objective,,,,Local government is established in order to _________,bring government nearer to the people,build churches and mosque,curb corruption in the society,promote political apathy,A,https://myschool.ng/classroom/government/48490?exam_type=waec&exam_year=2018&type=obj&page=8
2018,9,41,objective,,,,One reason for the adoption of Indirect Rule in British West Africa was?,availability of British officials,to ensure justice,inadequate finance,to assimilate the indigenes,C,https://myschool.ng/classroom/government/48493?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,42,objective,,,,Which of the following policies replaced Assimilation?,indigenat,loi cadre,association,indirect rule,C,https://myschool.ng/classroom/government/48497?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,43,objective,,,,Which of the following is a reason for the failure of the assimilation policy in French West Africa?,the change in the name of their culture,the refusal of Africans to be culturally colonized,the democratic policy of the french,bribery of the opinion leaders by the french,B,https://myschool.ng/classroom/government/48498?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,44,objective,,,,Nationalism prior to the second world war was led by?,educated elites and chiefs,chiefs and elders,aggrieved cocoa farmers,African merchants,A,https://myschool.ng/classroom/government/48501?exam_type=waec&exam_year=2018&type=obj&page=9
2018,9,45,objective,,,,Which of the following is not a factor leading to military intervention in West African states?,excessive control of public enterprise,falsification of election results,mismanagement of the country's economy,corruption in high places,A,https://myschool.ng/classroom/government/48503?exam_type=waec&exam_year=2018&type=obj&page=9
2018,10,46,objective,,,,One of the problems of military administration in West Africa is that soldiers,are representatives of the people,lack discipline,are not well organized,are not trained for governance,D,https://myschool.ng/classroom/government/48509?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,47,objective,,,,"In order to promote democracy and good governance, the commonwealth of Nations",prosecutes leaders who commit atrocities at the international criminal court,organises seminars and training programs on technical assistance to members,sanction members who do not pay their dues,sponsors election observer teams to monitor the conduct of elections.,D,https://myschool.ng/classroom/government/48517?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,48,objective,,,,The foreign policy of a country could be influenced by?,personality of political leader,number of schools in a country,number of ministers in a country,national,A,https://myschool.ng/classroom/government/48518?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,49,objective,,,,Which of the following is not a problem faced by ECOWAS,financial security,political instability,larger market,colonial heritage,A,https://myschool.ng/classroom/government/48522?exam_type=waec&exam_year=2018&type=obj&page=10
2018,10,50,objective,,,,The United Nation Organisation (UNO) is primary regarded as successful because,its members continue to increase,of its control of outbreak of another world war,all member countries have veto power,more member countries acquire more nuclear power,B,https://myschool.ng/classroom/government/48528?exam_type=waec&exam_year=2018&type=obj&page=10
2019,1,1,constitution,,,,"The constitutional power given to the judiciary to interpret legislative acts, executive and administrative actions and to declare its constitutionality or otherwise is _____",judicial power,separation of power,judicial review,administrative processes,C,https://myschool.ng/classroom/government/57081?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,2,objective,,,,The ultimate duty of a citizen is to demonstrate his/her __________,allegiance to the sovereign,loyalty to the state,respect for the national flag,contribution to government expenditure,B,https://myschool.ng/classroom/government/57298?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,3,objective,,,,Conventions and usages are rules based on ________,traditions and customs,previous constitutions,legal documents,decisions of commoners,A,https://myschool.ng/classroom/government/57300?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,4,objective,,,,The body responsible for the execution of the policies of government is the ______,Pressure group,Civil service,Constitutional Conference,Electoral Commission,B,https://myschool.ng/classroom/government/57303?exam_type=waec&exam_year=2019&type=obj&page=1
2019,1,5,theory,,,,The Electorate is defined as ________,intended candidates for voting,elected party members,elected civil society group,citizens that are qualified to vote,D,https://myschool.ng/classroom/government/57306?exam_type=waec&exam_year=2019&type=obj&page=1
2019,2,6,objective,,,,The right to govern and administer the affairs of the people of a country is ________,power,diplomacy,authority,influence,C,https://myschool.ng/classroom/government/57309?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,7,objective,,,,One of the following is a characteristic of a unitary system,Heterogeneous society,Homogeneous society,Communal society,Feudal society,B,https://myschool.ng/classroom/government/57311?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,8,objective,,,,The mass type of party is ________,broad-based,capitalist,feudalist,conservative,A,https://myschool.ng/classroom/government/57314?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,9,objective,,,,Who among the following provided the detailed work on sovereignty?,Jean Bodin,Fredrick Englels,Bolaji Akinyemi,Thomas Hobbes,A,https://myschool.ng/classroom/government/57319?exam_type=waec&exam_year=2019&type=obj&page=2
2019,2,10,objective,,,,The family and peer groups are important agents of _________,political culture,political socialization,charismatic authority,traditional authority,B,https://myschool.ng/classroom/government/57322?exam_type=waec&exam_year=2019&type=obj&page=2
2019,3,11,objective,,,,The confederal system of government is unpopular because ___________,the government operates oligarchy system,it does not follow due process,it discourages rapid development,all the component units are sovereign,D,https://myschool.ng/classroom/government/57325?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,12,objective,,,,Local government is relevant because it provides political ______,discussion among electorate,discipline among party members,representation in the judiciary,participation at the grassroots,D,https://myschool.ng/classroom/government/57329?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,13,objective,,,,Pressure groups provide _______,manifestoes for political parties,sponsorship of candidates,aims and objectives for a wider appeal to the electorates.,means by which government ascertain public reactions to their policies,D,https://myschool.ng/classroom/government/57334?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,14,comprehension,,,,The authority of the state is collectively exercised by the _______,"executive, legislative, judiciary","president, governor and chairman","police, army and navy","government, people and civil servants",A,https://myschool.ng/classroom/government/57340?exam_type=waec&exam_year=2019&type=obj&page=3
2019,3,15,objective,,,,"In a presidential system of government, legislative approval is not necessary for the ________",appointment of supreme court judges,rectification of treaties,granting of pardons,appointments of civil servants,D,https://myschool.ng/classroom/government/57348?exam_type=waec&exam_year=2019&type=obj&page=3
2019,4,16,objective,,,,The following are the reasons widely espoused for military intervention and rules in West Africa except ______,Tribalism and Nepotism,inordinate ambition of soldiers,maladministration,religion,D,https://myschool.ng/classroom/government/57372?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,17,objective,,,,Which of the following electoral systems is ideal for a heterogeneous society?,simple majority,preferential ballot,non-transferable vote,proportional representation,D,https://myschool.ng/classroom/government/57375?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,18,constitution,,,,A constitution performs the role of ________,law making,law enforcement,communicating the ideals of leaders,stating the functions and limitations of leaders,D,https://myschool.ng/classroom/government/57376?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,19,objective,,,,The impeachment process is a unique feature of the ______,parliamentary system,presidential system,federal system,unitary system,B,https://myschool.ng/classroom/government/57377?exam_type=waec&exam_year=2019&type=obj&page=4
2019,4,20,objective,,,,Which of the following is a function of the party whip?,flogging erring party members,ensuring that the members tow the party position,ensuring the safety of the speaker,assessing the performance of the law makers,B,https://myschool.ng/classroom/government/57404?exam_type=waec&exam_year=2019&type=obj&page=4
2019,5,21,objective,,,,Labour groups mostly come under the umbrella of the ________,industrial workers' union,trades union congress,anomic group,civil defence,B,https://myschool.ng/classroom/government/57407?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,22,objective,,,,The major problem facing electoral management bodies in West Africa is _______,Lack of qualified personnel,poor communication network,foreign interference,electoral malpractice,D,https://myschool.ng/classroom/government/57415?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,23,objective,,,,The features of a state include all the following except _______,government,territory,society,population,C,https://myschool.ng/classroom/government/57421?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,24,objective,,,,To facilitate the movement of people from one member to another the Economic Community of West African States (ECOWAS) has _________,created several border posts within member states,waived visa requirements for citizens of member countries,created one currency for all member countries,maintained regional peace and security through deployment of forces,B,https://myschool.ng/classroom/government/57427?exam_type=waec&exam_year=2019&type=obj&page=5
2019,5,25,objective,,,,Public Corporations are referred to as statutory bodies because they are established by _________,a legislative instrument,Acts of parliament,an executive instrument,Bye-laws,B,https://myschool.ng/classroom/government/57431?exam_type=waec&exam_year=2019&type=obj&page=5
2019,6,26,objective,,,,Which state institution serves as a link between the government and the people?,Office of the president,The civil service,the judiciary,the church,B,https://myschool.ng/classroom/government/57435?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,27,objective,,,,"The media play a vital role in the political environment in that, it ________",articulates the views of individuals,incites people to be lawless,projects individuals above the state,articulates the views of the ruling party,A,https://myschool.ng/classroom/government/57436?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,28,objective,,,,Military might is a major determinant of a country's _______,independence,democracy,foreign policy,wealth,C,https://myschool.ng/classroom/government/57440?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,29,objective,,,,The major role of minority parties in parliament is to _______,criticize every government policy,ensure democratic governance,monitor the activities of the president,supervise the passage of bills,B,https://myschool.ng/classroom/government/57445?exam_type=waec&exam_year=2019&type=obj&page=6
2019,6,30,objective,,,,The political parties established in West Africa in the 1950's were aimed at ________,securing independence for their people,Participating in the colonial administration,introducing guerilla warfare against Europeans,representing their people in the British parliament,A,https://myschool.ng/classroom/government/57455?exam_type=waec&exam_year=2019&type=obj&page=6
2019,7,31,objective,,,,The Commonwealth Secretariat is located in _________,Los Angeles,Kuala-Lumpur,London,Glasgow,C,https://myschool.ng/classroom/government/57457?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,32,objective,,,,Which colonial administration in West Africa sought to integrate her colonies with their home country?,British,Dutch,French,Danes,C,https://myschool.ng/classroom/government/57459?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,33,objective,,,,The following are benefits member countries derive from the Economic Community of West African State (ECOWAS) except _______,economic cooperation,Larger market,military assistance,free ports,D,https://myschool.ng/classroom/government/57463?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,34,objective,,,,Which of the following is not an obligation of a citizen?,payment of taxes,voting in an election,protecting public property,attending religious gathering,D,https://myschool.ng/classroom/government/57465?exam_type=waec&exam_year=2019&type=obj&page=7
2019,7,35,objective,,,,The implementation of indirect rule was supervised by the __________,Chiefs and Councils of elders,British officials,spiritual leaders of the land,educated elite,B,https://myschool.ng/classroom/government/57468?exam_type=waec&exam_year=2019&type=obj&page=7
2019,8,36,objective,,,,The electronic and print media makes their views heard on national issues through_______,public notice,adverisement,documentary,editorial commentary,C,https://myschool.ng/classroom/government/57473?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,37,objective,,,,Any type of restricted franchise is a violation of the principle of ________,constitutionalism,soveriegnty,political equality,editorial commentary,C,https://myschool.ng/classroom/government/57503?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,38,objective,,,,Public corporation can operate in a more efficient manner if they are ________,free from political interference,controlled by the judicial service commission,under the head of the civil service,controlled by the military,A,https://myschool.ng/classroom/government/57507?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,39,objective,,,,The agency responsible for fulfilling the purpose of the state is ________,government,pressure group,public corporation,media,A,https://myschool.ng/classroom/government/57513?exam_type=waec&exam_year=2019&type=obj&page=8
2019,8,40,objective,,,,The power of the electorate signifies _________,political sovereignty,legal sovereignty,external sovereignty,internal sovereignty,A,https://myschool.ng/classroom/government/57518?exam_type=waec&exam_year=2019&type=obj&page=8
2019,9,41,objective,,,,The removal of government direct control and monopoly in manufacturing and service sectors is called __________,privatization,specialization,commercialization,decentralization,A,https://myschool.ng/classroom/government/57520?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,42,objective,,,,ECOWAS monitoring group (ECOMOG) was established to ________,recruit able-bodied men to defend West Africa,restore peace to war-torn West African countries,change bad government in West Africa,corporation of the ex-servicemen with the governor,B,https://myschool.ng/classroom/government/57595?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,43,objective,,,,The major concern of the United Nations Organization (UNO) is world ________,trade,peace,health,cooperation,B,https://myschool.ng/classroom/government/57599?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,44,objective,,,,Nationalist agitation in British West Africa after the World War II led to the ________,disregard for traditional rulers who supported the British,formation of political parties,killing of British administrative officials,cooperation of the ex-servicemen with the governor,B,https://myschool.ng/classroom/government/57610?exam_type=waec&exam_year=2019&type=obj&page=9
2019,9,45,objective,,,,An African- American who contributed greatly to the growth of nationalism in West Africa was _______,Martin Luther King,Jesse Jackson,Nelson Mandela,William Du Bois,D,https://myschool.ng/classroom/government/57646?exam_type=waec&exam_year=2019&type=obj&page=9
2019,10,46,objective,,,,Which of the following is not a component of political culture?,Norms,Age,Beliefs,Attitudes,B,https://myschool.ng/classroom/government/57647?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,47,objective,,,,The following were checks on the powers of chiefs during the pre-colonial era except the __________,British Officials,Kingsmakers,Council of Elders,Age grades,A,https://myschool.ng/classroom/government/57650?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,48,constitution,,,,A common feature of pre-independence constitutions of British West African colonies was the _________,existence of separation of power,governor's membership of both the legislative and executive councils,adoption of federalism,establishment of council of elders,B,https://myschool.ng/classroom/government/57654?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,49,objective,,,,Which of the following features of indirect rule contributed immensely to Nationalism in British West Africa,Establishment of native courts,the appointment of resident district commissioners,establishment of the native courts,exclusion of the educated elites,C,https://myschool.ng/classroom/government/57657?exam_type=waec&exam_year=2019&type=obj&page=10
2019,10,50,objective,,,,The first inter-territorial association organised by some educated African elite in the Gold Coast as the ________,Aborigine's Rights Protection Society (ARFS),National Congress of British West Africa (NCBWA),Movement of Educated Elites in West Africa (MEEWA),West Africa Frontier Forces(WAFF),A,https://myschool.ng/classroom/government/57661?exam_type=waec&exam_year=2019&type=obj&page=10
2020,1,1,objective,,,,"In modern democracy, a government is _________",a contrast between the rulers and the ruled,a preserve of the political party in power,monopoly of the ethnic group,alternation of power between the majority and minority tribes,A,https://myschool.ng/classroom/government/57781?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,2,objective,,,,The ability to make and enforce laws and administer justice constitute the major functions of a _________,nation,society,government,pressure group,C,https://myschool.ng/classroom/government/57783?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,3,objective,,,,Executive power in a cabinet system of government is vested in the ________,legislature,judiciary,civil service,council of ministers,D,https://myschool.ng/classroom/government/57786?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,4,objective,,,,A feature of a confederal state is that _______,it is a single sovereign state,its constitution is flexible,any unit can secede at will,its powers are distributed equally between the centre and units,C,https://myschool.ng/classroom/government/57790?exam_type=waec&exam_year=2020&type=obj&page=1
2020,1,5,objective,,,,One of the limitations to the principles of rule of law is _________,Immunity,equality,liberty,impartiality,A,https://myschool.ng/classroom/government/57791?exam_type=waec&exam_year=2020&type=obj&page=1
2020,2,6,objective,,,,Countries adopt the unitary system of government because it __________,detests dictatorship,promote national integration,concentrates power only at the centre,allows the component units to secede at will,B,https://myschool.ng/classroom/government/57793?exam_type=waec&exam_year=2020&type=obj&page=2
2020,2,7,objective,,,,Which of the following is an advantage of monocephalous executive ___________,sharing of power,quick decision making,impartial dispension of justice,enjoyment of press freedom,B,https://myschool.ng/classroom/government/57798?exam_type=waec&exam_year=2020&type=obj&page=2
